,user,date,text,hashtags,is_retweet,favourites,retweets
65,alexbetancourtl,Tue Mar 16 14:47:25 +0000 2021,"We just announced that the first participants have been dosed in the Phase 2/3 study, called the KidCOVE study, of mRNA-127…",,True,0,286
64,PRCA_NI,Tue Mar 16 14:47:26 +0000 2021,"📣 Calling all females aged 18-24 who live in (NI) and use social media. 

This survey is part of my primary research for m…",,True,0,1
63,sftnewton,Tue Mar 16 14:47:27 +0000 2021,"@KymC1019 @Wallis4America Here's the Truth. Not a conspiracy. 

https://t.co/TauFd17WG3",,True,0,8
62,SandyHi2244,Tue Mar 16 14:47:27 +0000 2021,"TUESDAY, MARCH 16th: 1️⃣.0️⃣9️⃣ (Ontario Covid-19 Rt)

🚦ONTARIO REGIONAL METRIC🚦

🇨🇦 NATIONAL &amp; PROVINCIAL 🇨🇦
    🦠 R Values…",,True,0,39
61,lloydtwin,Tue Mar 16 14:47:27 +0000 2021,"Sen. @ChuckGrassley is urging Attorney General #MerrickGarland to look into whether any state officials, who are subjected…",MerrickGarland,True,0,26
60,SSGTIrl,Tue Mar 16 14:47:27 +0000 2021,"We have some brilliant news! 
We have received funding from the @CommunityFound #CFICovidRelief for our new Traveller Empl…",CFICovidRelief,True,0,3
59,devibharati,Tue Mar 16 14:47:27 +0000 2021,NEW: Everyone in Ohio over the age of 16 will become eligible for a COVID-19 vaccine on March 29,,True,0,75
58,SomersetNews,Tue Mar 16 14:47:27 +0000 2021,"More than a THIRD of people across #England have coronavirus #antibodies
 https://t.co/Kbj5D85tL5",England antibodies,False,0,0
57,lannarider,Tue Mar 16 14:47:28 +0000 2021,A new kind of #anti-viral based on #CRISPR technology is showing promise against #influenza and #COVID19. How it works on…,anti CRISPR influenza COVID19,True,0,25
56,NesterNat9,Tue Mar 16 14:47:28 +0000 2021,NEW: @NMDOT and the Archdiocese of Santa Fe are asking the faithful to stay home during Holy Week. The annual pilgrimages to Sant…,,True,0,1
55,guzlomi,Tue Mar 16 14:47:28 +0000 2021,"Russia will triple the production of its Sputnik V Covid-19 vaccine in India, strengthening its pledge to inoculate a tenth o…",,True,0,28
54,healthcareswfl,Tue Mar 16 14:47:28 +0000 2021,We are pleased to share our own Dr. DeChirico’s “Debunking #COVID19 vaccine hesitancy” article was featured in… https://t.co/agqOVdfcp8,COVID19,False,0,0
53,lorenza71319,Tue Mar 16 14:47:28 +0000 2021,"Hi my friends, many of you know I have PTSD from my covid-19 unit experience. This has been a rough week for me. It feels l…",,True,0,18
52,_javierc_u,Tue Mar 16 14:47:28 +0000 2021,Seoul orders all foreign workers to take COVID-19 tests https://t.co/XwAgc4hEd1,,True,0,9
73,jscheingross,Tue Mar 16 14:47:24 +0000 2021,"There are plenty of spots left for our #COVID19 Vaccination event this Saturday, March 20 from 8am to 1pm. It’s quick and easy!…",COVID19,True,0,2
74,6831Bryan,Tue Mar 16 14:47:24 +0000 2021,"More bullshit...

""Officials say AstraZeneca COVID-19 vaccine is safe for Canadians over age 65""  https://t.co/Nm2wDCcHNX",,False,0,0
51,jemanggulo,Tue Mar 16 14:47:28 +0000 2021,"THE GOLDEN MASK AWARDS

Today marks the one-year anniversary of the start of lockdown due to the COVID-19 pandemic. We take…",,True,0,28
87,GentlemanCotton,Tue Mar 16 14:47:22 +0000 2021,#Exclusive: Farmers blame Biden for 'promoting division' with billions in COVID-19 relief for non-Whites. || @seanhannity…,Exclusive,True,0,496
96,edtea_kzn,Tue Mar 16 14:47:20 +0000 2021,"R20 MILLION RAND TO ASSIST KZN TOURISM BUSINESSES IN DISTRESS

At least 400 KZN tourism businesses will benefit fro… https://t.co/ioGbjNjRRA",,False,0,0
95,bussybink,Tue Mar 16 14:47:20 +0000 2021,Gov. DeWine just announced all Ohioans will become eligible for a COVID-19 vaccine on March 29. Ohioans with additional qualifyi…,,True,0,3
94,CoronaUpdateBot,Tue Mar 16 14:47:21 +0000 2021,"#Moderna begins testing #Covid vaccine on children
https://t.co/Lc03prLJqr

#modernavaccine #CovidVaccine #CoronavirusVacc…",Moderna Covid modernavaccine CovidVaccine,True,0,1
